Place_ID,Name,Latitude,Longitude,District,Tags,Duration_Minutes,Rating
1,Temple of the Sacred Tooth Relic,7.2936,80.6413,Kandy,History|Culture,120,4.7
2,Royal Botanic Gardens Peradeniya,7.2718,80.596,Kandy,Nature,150,4.6
3,Kandy Lake,7.3,80.6333,Kandy,Nature|City,60,4.8
4,Udawatta Kele Sanctuary,7.2986,80.6422,Kandy,Nature|Wildlife,120,4.4
5,Ceylon Tea Museum,7.2662,80.6322,Kandy,History|Culture,90,4.2
6,Bahirawakanda Vihara Buddha Statue,7.2917,80.6288,Kandy,Culture,60,4.6
7,Kandy View Point (Arthur's Seat),7.2889,80.6428,Kandy,City|Nature,45,4.6
8,British Garrison Cemetery,7.2928,80.6432,Kandy,History,45,4.5
9,Lankatilaka Vihara,7.2311,80.5658,Kandy,History|Culture,60,4.6
10,Gadaladeniya Vihara,7.2575,80.5566,Kandy,History|Culture,60,4.5
11,Embekke Devalaya,7.2178,80.5677,Kandy,History|Culture,60,4.7
12,Ambuluwawa Tower,7.1444,80.5653,Kandy,Nature|Adventure|Culture,150,4.8
13,Ranawana Purana Rajamaha Viharaya,7.2666,80.575,Kandy,Culture,60,4.7
14,Hanthana Mountain Range,7.2586,80.6286,Kandy,Nature|Adventure,240,4.8
15,Degaldoruwa Temple,7.3005,80.6558,Kandy,History|Culture,60,4.4
16,Alawathugoda Saman Devalaya,7.4055,80.6073,Kandy,History|Culture,45,4.3
17,Giragama Walawwa,7.2943,80.6359,Kandy,History|City,45,4.1
18,Pallekele International Cricket Stadium,7.2801,80.702,Kandy,City|Culture,180,4.5
19,Asgiriya Stadium,7.2988,80.6322,Kandy,City|Culture,60,4.2
20,Sigiriya Lion Rock,7.9569,80.7597,Matale,History|Culture|Adventure,180,4.7
21,Dambulla Cave Temple,7.8566,80.6491,Matale,History|Culture,120,4.9
22,Pidurangala Rock,7.9644,80.7633,Matale,Nature|Adventure,150,4.8
23,Aluvihare Rock Temple,7.4971,80.6218,Matale,History|Culture,90,4.5
24,Muthumariamman Temple Matale,7.4764,80.623,Matale,Culture,60,4.6
25,National Spice Garden Matale,7.5186,80.6042,Matale,Nature|Culture,90,4.7
26,Sembuwatta Lake,7.4394,80.6983,Matale,Nature|Adventure,120,4.6
27,Riverston Peak,7.5283,80.7366,Matale,Nature|Adventure,180,4.8
28,Pitawala Pathana,7.5458,80.7483,Matale,Nature,90,4.7
29,Sera Ella,7.5883,80.755,Matale,Nature|Adventure,120,4.5
30,Bambarakiri Ella,7.4725,80.6658,Matale,Nature,60,4.4
31,Nalanda Gedige,7.67,80.6455,Matale,History|Culture,60,4.3
32,Wasgamuwa National Park,7.7166,80.9333,Matale,Wildlife|Nature,240,4.6
33,Ibbankatuwa Megalithic Tombs,7.8372,80.6298,Matale,History,60,4.2
34,Knuckles Mountain Range,7.4666,80.7833,Matale,Nature|Adventure,300,4.9
35,Hunnas Falls,7.4022,80.6866,Matale,Nature,90,4.5
36,Horton Plains National Park,6.7831,80.7928,Nuwara Eliya,Nature|Wildlife|Adventure,240,4.6
37,World's End,6.7831,80.7928,Nuwara Eliya,Nature|Adventure,120,4.8
38,Baker's Falls,6.7922,80.7894,Nuwara Eliya,Nature,90,4.7
39,Lake Gregory,6.9568,80.7773,Nuwara Eliya,Nature|City,120,4.8
40,Victoria Park Nuwara Eliya,6.9691,80.7661,Nuwara Eliya,Nature|City,90,4.4
41,Pedro Tea Estate,6.9744,80.7911,Nuwara Eliya,Culture|Nature,90,4.5
42,Bluefield Tea Gardens,7.0421,80.698,Nuwara Eliya,Culture|Nature,90,4.7
43,Lovers Leap Waterfall,6.9784,80.7866,Nuwara Eliya,Nature|Adventure,90,4.4
44,Ramboda Falls,7.0585,80.699,Nuwara Eliya,Nature,60,4.6
45,Bomburu Ella,6.968,80.8042,Nuwara Eliya,Nature,120,4.7
46,Hakgala Botanical Garden,6.9256,80.822,Nuwara Eliya,Nature,120,4.4
47,Moon Plains,6.9458,80.7941,Nuwara Eliya,Nature|Wildlife,120,4.5
48,Seetha Amman Temple,6.9338,80.8144,Nuwara Eliya,History|Culture,45,4.6
49,Single Tree Hill,6.9552,80.7577,Nuwara Eliya,Nature|Adventure,120,4.4
50,Galway's Land National Park,6.9656,80.7775,Nuwara Eliya,Nature|Wildlife,90,4.3
51,Natha Devale,7.2942,80.6405,Kandy,History|Culture,45,4.6
52,Maha Vishnu Devalaya,7.2947,80.6398,Kandy,History|Culture,45,4.7
53,Pattini Devale,7.2938,80.6385,Kandy,History|Culture,30,4.5
54,Kataragama Devalaya Kandy,7.2925,80.6372,Kandy,History|Culture,30,4.5
55,Kandy National Museum,7.2933,80.6422,Kandy,History|Culture,60,4.4
56,St. Paul's Church Kandy,7.2936,80.6408,Kandy,History|Culture,30,4.5
57,Asgiri Maha Viharaya,7.2981,80.6322,Kandy,History|Culture,60,4.6
58,Malwatte Maha Viharaya,7.2908,80.6417,Kandy,History|Culture,60,4.6
59,Galmaduwa Rajamaha Viharaya,7.2886,80.6758,Kandy,History|Culture,45,4.5
60,Medawala Rajamaha Viharaya,7.3519,80.5833,Kandy,History|Culture,45,4.7
61,Commonwealth War Cemetery Kandy,7.2764,80.6069,Kandy,History,45,4.8
62,Trinity College Chapel,7.2978,80.6386,Kandy,History|Culture,30,4.7
63,Kadugannawa Railway Museum,7.2567,80.5219,Kandy,History,60,4.4
64,Dawson Tower,7.2561,80.5217,Kandy,History|City,30,4.3
65,Nelligala International Buddhist Centre,7.3008,80.5597,Kandy,Culture|Nature,90,4.8
66,Hindagala Rajamaha Viharaya,7.2389,80.5964,Kandy,History|Culture,45,4.5
67,Red Mosque Kandy,7.2917,80.6369,Kandy,History|Culture,30,4.4
68,Kandy City Centre,7.2925,80.6378,Kandy,City,90,4.4
69,Kandy Clock Tower,7.2911,80.6353,Kandy,City|History,15,4.2
70,Wales Park,7.2903,80.6389,Kandy,Nature|City,45,4.3
71,Saree Ella,7.4103,80.7511,Kandy,Nature|Adventure,60,4.7
72,Jodu Ella,7.4128,80.7489,Kandy,Nature|Adventure,60,4.5
73,Huluganga Falls,7.3972,80.7258,Kandy,Nature,45,4.6
74,Thangappuwa Falls,7.3892,80.7964,Kandy,Nature|Adventure,90,4.8
75,Rangala Natural Pool,7.3556,80.7719,Kandy,Nature|Adventure,90,4.6
76,Loolkandura Estate,7.1436,80.6983,Kandy,History|Nature,120,4.7
77,Kondagala,7.1481,80.6978,Kandy,Nature|Adventure,180,4.8
78,Pettigala,7.2472,80.8258,Kandy,Nature|Adventure,240,4.6
79,Pothgulgala,7.2625,80.5842,Kandy,Nature|Adventure,120,4.5
80,Alagalla Mountain Range,7.2831,80.4853,Kandy,Nature|Adventure,240,4.7
81,Galboda Falls,7.0658,80.4811,Kandy,Nature|Adventure,180,4.6
82,Kadiyanlena Falls,7.0397,80.5694,Kandy,Nature,45,4.7
83,Dodanwala Devalaya,7.2878,80.5622,Kandy,History|Culture,45,4.4
84,Canbuy Gem Museum,7.2833,80.6094,Kandy,Culture|City,45,4.2
85,Rathna Ella,7.3517,80.9936,Kandy,Nature|Adventure,180,4.8
86,Euphoria Spice and Herbal Garden,7.5028,80.6219,Matale,Nature|Culture,60,4.5
87,Matale Heritage Centre,7.4683,80.6231,Matale,Culture|History,60,4.4
88,Fort MacDowall,7.4719,80.6225,Matale,History,30,4.1
89,Christ Church Matale,7.4697,80.6217,Matale,History|Culture,30,4.4
90,Kaludiya Pokuna,7.8672,80.7336,Matale,History|Nature,90,4.7
91,Kandalama Reservoir,7.8864,80.7103,Matale,Nature|Wildlife,90,4.6
92,Bowatenna Dam,7.6586,80.6869,Matale,Nature|City,45,4.3
93,Moragahakanda Reservoir,7.7478,80.7814,Matale,Nature,60,4.5
94,Kalu Ganga Dam,7.5625,80.8258,Matale,Nature,45,4.4
95,Dambulugala Inscriptions,7.8572,80.6517,Matale,History,45,4.4
96,Menikdena Archaeological Reserve,7.8042,80.6247,Matale,History|Nature,90,4.6
97,Arangala Mountain,7.6694,80.6067,Matale,Nature|Adventure,180,4.7
98,Manigala Peak,7.5458,80.7719,Matale,Nature|Adventure,240,4.8
99,Dumbara Ella,7.4936,80.8211,Matale,Nature|Adventure,180,4.7
100,Duwili Ella,7.5097,80.8353,Matale,Nature|Adventure,240,4.9
101,Sansun Ella,7.4981,80.8247,Matale,Nature,60,4.6
102,Thattu Ella,7.5025,80.8286,Matale,Nature,60,4.5
103,Meemure Village,7.4339,80.8447,Matale,Culture|Nature,240,4.8
104,Atanwala Village,7.5367,80.7681,Matale,Culture|Nature,120,4.7
105,Thalkote Wewa,7.9622,80.7331,Matale,Nature|Wildlife,60,4.5
106,Sigiriya Museum,7.9547,80.7578,Matale,History|Culture,90,4.6
107,Mapagala Rock,7.9472,80.7558,Matale,History|Nature,60,4.5
108,Dambulla Dedicated Economic Centre,7.8631,80.6536,Matale,City|Culture,45,4.2
109,Popham's Arboretum,7.8714,80.6381,Matale,Nature|Wildlife,90,4.6
110,Kandalama Hot Air Ballooning,7.8817,80.7025,Matale,Adventure|Nature,180,4.8
111,Rangiri Dambulla International Stadium,7.8617,80.6653,Matale,City,45,4.3
112,Somawathiya Stupa Dambulla,7.8542,80.6489,Matale,History|Culture,45,4.4
113,Naula Rajamaha Viharaya,7.7125,80.6383,Matale,History|Culture,45,4.3
114,Ambokka Rajamaha Viharaya,7.6322,80.5756,Matale,History|Culture,45,4.4
115,Gurubewila Purana Viharaya,7.5819,80.6014,Matale,History|Culture,30,4.3
116,Bambaragala Pathana,7.5683,80.7358,Matale,Nature|Adventure,120,4.6
117,Ranmudu Ella Matale,7.5411,80.7419,Matale,Nature,45,4.5
118,Nuwara Eliya Post Office,6.9716,80.7664,Nuwara Eliya,History|City,30,4.5
119,Holy Trinity Church Nuwara Eliya,6.9725,80.7642,Nuwara Eliya,History|Culture,30,4.4
120,Nuwara Eliya Golf Club,6.9717,80.7647,Nuwara Eliya,City|Nature,120,4.4
121,Royal Turf Club,6.9628,80.7692,Nuwara Eliya,City|Culture,90,4.3
122,Grand Hotel High Tea,6.9722,80.7628,Nuwara Eliya,Culture|City,90,4.6
123,St. Clair's Falls,6.9512,80.6479,Nuwara Eliya,Nature,45,4.7
124,Devon Falls,6.9517,80.6297,Nuwara Eliya,Nature,45,4.7
125,Laxapana Falls,6.8986,80.5008,Nuwara Eliya,Nature|Adventure,90,4.8
126,Aberdeen Falls,6.9483,80.5019,Nuwara Eliya,Nature|Adventure,90,4.8
127,Dunsinane Falls,7.0336,80.6719,Nuwara Eliya,Nature,60,4.6
128,Pundalu Oya Falls,7.0189,80.6694,Nuwara Eliya,Nature,45,4.5
129,Puna Falls,7.0544,80.6978,Nuwara Eliya,Nature|Adventure,90,4.6
130,Gartmore Falls,6.8042,80.5414,Nuwara Eliya,Nature|Adventure,120,4.7
131,Moray Falls,6.8125,80.5369,Nuwara Eliya,Nature,90,4.6
132,Kurundu Oya Falls,7.0125,80.8528,Nuwara Eliya,Nature|Adventure,120,4.6
133,Galwala Ella Falls,6.9786,80.7714,Nuwara Eliya,Nature,45,4.3
134,Glen Falls,6.9711,80.7583,Nuwara Eliya,Nature,30,4.2
135,Ambewela Farms,6.8833,80.8036,Nuwara Eliya,Nature|Culture,90,4.5
136,New Zealand Farm,6.8653,80.8142,Nuwara Eliya,Nature|Culture,90,4.5
137,Shanthipura View Point,6.9858,80.7497,Nuwara Eliya,Nature|City,45,4.5
138,Great Western Mountain,6.9639,80.7061,Nuwara Eliya,Nature|Adventure,300,4.7
139,Kikiliyamana Mountain,6.9889,80.7381,Nuwara Eliya,Nature|Adventure,180,4.5
140,Mandaram Nuwara,7.0378,80.7817,Nuwara Eliya,Nature|Culture,180,4.8
141,Kolapathana Ella,7.0311,80.7783,Nuwara Eliya,Nature|Adventure,90,4.7
142,Kabaragala Peak,7.1086,80.5847,Nuwara Eliya,Nature|Adventure,240,4.7
143,Chariot Path,7.0858,80.6483,Nuwara Eliya,Nature|History,240,4.8
144,Mlesna Tea Castle St. Clair,6.9458,80.6444,Nuwara Eliya,Culture|History,60,4.4
145,Thalawakele Tea Research Institute,6.9383,80.6617,Nuwara Eliya,History|Culture,90,4.5
146,Damro Labookellie Tea Centre,7.0347,80.7242,Nuwara Eliya,Culture,90,4.6
147,Sri Bhakta Hanuman Temple,7.0519,80.6861,Nuwara Eliya,History|Culture,45,4.5
148,Gayathri Peedam,6.9822,80.7686,Nuwara Eliya,History|Culture,30,4.4
149,Swarnagiri Maha Viharaya,6.9647,80.7719,Nuwara Eliya,History|Culture,45,4.5
150,Nuwara Eliya Central Market,6.9708,80.7689,Nuwara Eliya,City|Culture,60,4.2
151,Pinnawala Elephant Orphanage,7.2945,80.3949,Kegalle,Wildlife|Nature,180,4.7
152,Pinnawala Zoo,7.3002,80.3985,Kegalle,Wildlife,120,3.8
153,Millennium Elephant Foundation,7.2721,80.3854,Kegalle,Wildlife|Nature,150,4.2
154,Elephant Freedom Project,7.2685,80.3721,Kegalle,Wildlife|Nature,150,4.5
155,Saradiel Village & Resort,7.2521,80.4563,Kegalle,Culture|History,90,4.3
156,Bible Rock (Bathalegala),7.1852,80.4856,Kegalle,Nature|Adventure,240,4.8
157,Alagalla Mountain Range,7.2356,80.5123,Kegalle,Nature|Adventure,300,4.7
158,Belilena Cave Kitulgala,6.9856,80.4256,Kegalle,History|Nature,120,4.6
159,Kitulgala White Water Rafting,6.9923,80.4152,Kegalle,Adventure,180,4.9
160,Olu Ella Waterfall,6.9756,80.4521,Kegalle,Nature,60,4.4
161,Asupini Ella Waterfall,7.1523,80.5021,Kegalle,Nature,90,4.2
162,Dedigama Kota Vehera,7.2156,80.2856,Kegalle,History|Religion,60,4.5
163,Berendi Kovil Dehiovita,6.9523,80.2152,Kegalle,History|Religion,45,4
164,Aluth Nuwara Dedimunda Devalaya,7.2452,80.4652,Kegalle,History|Religion,90,4.6
165,Deliwala Kotavehera Rambukkana,7.3352,80.3843,Kegalle,History|Religion,60,4.1
166,Beligala Raja Maha Vihara,7.2856,80.2521,Kegalle,History|Religion,75,4.3
167,Devanagala Raja Maha Vihara,7.2125,80.4625,Kegalle,History|Religion,120,4.7
168,Uthuwankanda Peak,7.2512,80.4485,Kegalle,Nature|Adventure,150,4.5
169,Wattarama Raja Maha Vihara,7.2023,80.3252,Kegalle,History|Religion,90,4.2
170,Danagirigala Raja Maha Vihara,7.2585,80.4852,Kegalle,History|Religion,120,4.4
171,Kadugannawa Rock View Point,7.2533,80.5056,Kegalle,Nature|City,30,4.5
172,Susantha Spice & Herbal Garden,7.2352,80.3652,Kegalle,Nature|Culture,60,3.9
173,Ceylon Tea Factory Mawanella,7.2512,80.4412,Kegalle,Culture,60,4.1
174,Holombuwa Sthripura Cave Vihara,7.2052,80.2523,Kegalle,Religion|History,60,4
175,Bisowela Purana Gallen Vihara,7.1523,80.3521,Kegalle,Religion|History,45,3.8
176,Uduwaka Dunumala Ella,7.1352,80.1856,Kegalle,Nature,60,4.3
177,Wee Oya Ella Falls,6.9852,80.4652,Kegalle,Nature,45,4
178,Malalpola Ella Falls,6.9652,80.4452,Kegalle,Nature,45,3.9
179,Kitul Ella Falls,6.9952,80.4352,Kegalle,Nature,30,3.7
180,Gorok Ella Falls,6.9552,80.4252,Kegalle,Nature,30,3.8
181,Katuwel Ella Falls,6.9752,80.4152,Kegalle,Nature,45,4.1
182,Manella Waterfalls Area,7.1852,80.5252,Kegalle,Nature,60,4.2
183,Rikili Falls Aranayaka,7.1252,80.5152,Kegalle,Nature,60,4
184,Rukmal Falls Bulathkohupitiya,7.1152,80.5052,Kegalle,Nature,45,3.9
185,Lenathiri Falls,7.1052,80.4952,Kegalle,Nature,45,3.8
186,Welanda Falls,7.0952,80.4852,Kegalle,Nature,45,3.7
187,Galgediyana Falls,7.0852,80.4752,Kegalle,Nature,60,4.1
188,Ganthuna Falls Cluster,7.1452,80.4752,Kegalle,Nature,45,4
189,Ahupini Falls Mawanella,7.1652,80.4652,Kegalle,Nature,60,4.2
190,Yakage Falls,7.1752,80.4552,Kegalle,Nature,45,3.9
191,Na Guna Ella,7.1852,80.4452,Kegalle,Nature,45,3.8
192,Wahilihiniyan Falls,7.1952,80.4352,Kegalle,Nature,45,3.7
193,Bo Falls Area,7.2052,80.4252,Kegalle,Nature,30,3.8
194,Miyan Falls Cluster,7.2152,80.4152,Kegalle,Nature,30,3.9
195,Pussella Viharaya,7.2252,80.3952,Kegalle,Religion,45,4
196,Kandegedara Buddhist Temple,7.2352,80.3852,Kegalle,Religion,45,3.9
197,Dunukewela Ancient Temple,7.2452,80.3752,Kegalle,Religion,45,3.8
198,Pothgulgala Forest Monastery,7.2552,80.3652,Kegalle,Religion,90,4.5
199,Gothama Buddhist Viharaya,7.2652,80.3552,Kegalle,Religion,60,4.1
200,Ridi Bodhiya Pilgrimage Site,7.2752,80.3452,Kegalle,Religion,45,4
201,Gotabhaya Raja Maha Vihara,7.2852,80.3352,Kegalle,Religion|History,60,4.2
202,Rideethotuwa Vihara,7.2952,80.3252,Kegalle,Religion,45,3.9
203,Daluggala Sri Bodhirajaramaya,7.3052,80.3152,Kegalle,Religion,60,4.1
204,Wewaladeniya Sri Mahindodaya Piriwena,7.2152,80.2252,Kegalle,Religion|Culture,90,4.3
205,Alkegama Tampita Viharaya,7.2412,80.4352,Kegalle,Religion|History,45,4
206,Arambegama Tampita Viharaya,7.2956,80.4123,Kegalle,Religion|History,45,4.1
207,Asmadala Tampita Viharaya,7.1752,80.4652,Kegalle,Religion|History,60,4.2
208,Attanagoda Tampita Viharaya,7.2485,80.4852,Kegalle,Religion|History,60,4.3
209,Burunnewa Tampita Viharaya,7.2352,80.2852,Kegalle,Religion|History,45,4.1
210,Eraminigammana Tampita Viharaya,7.1523,80.4123,Kegalle,Religion|History,45,4
211,Mediliya Tampita Viharaya,7.1352,80.4521,Kegalle,Religion|History,45,4.1
212,Gondiwela Tampita Viharaya,7.2512,80.4052,Kegalle,Religion|History,45,3.9
213,Hingula Tampita Viharaya,7.2552,80.4652,Kegalle,Religion|History,30,3.8
214,Ambulugala Raja Maha Vihara,7.2352,80.4752,Kegalle,Religion|History,90,4.5
215,Beligammana Pothgul Viharaya,7.2512,80.4452,Kegalle,Religion|History,60,4.3
216,Dodantale Sri Seneviratna Vihara,7.2585,80.4612,Kegalle,Religion|History,90,4.6
217,Deliwala Ancient Stupa,7.3312,80.378,Kegalle,History|Religion,60,4.2
218,Ruwanwella Ancient Fort,7.0521,80.2512,Kegalle,History,60,4.1
219,Menikkadawara Archaeological Site,7.2252,80.3152,Kegalle,History,45,3.8
220,Beligala Fortress Ruins,7.2812,80.2452,Kegalle,History|Adventure,180,4.4
221,Kadugannawa Tunnel Site,7.2515,80.5052,Kegalle,History|City,20,4.5
222,Dawson's Rest House Kegalle,7.2512,80.3452,Kegalle,History|City,45,3.9
223,Mangalagama Ambalama Site,7.3012,80.3912,Kegalle,History|Culture,30,4
224,Mawanella Colonial Bridge,7.2521,80.4421,Kegalle,History,20,3.8
225,Bogala Graphite Mine Center,7.1167,80.3333,Kegalle,Adventure|Culture,120,4.6
226,Rosyth Estate Tea Hub,7.2023,80.3412,Kegalle,Nature|Culture,120,4.7
227,New Paradise Herbal Garden,7.2412,80.4412,Kegalle,Nature,60,4
228,Uthuwankanda Historical Church,7.2512,80.4452,Kegalle,Religion,30,3.9
229,Kithulgala Tropical Rainforest,7.0012,80.4252,Kegalle,Nature|Wildlife,180,4.8
230,Maha Oya Scenic View Point,7.2852,80.3952,Kegalle,Nature,30,4.2
231,Selawa Mountain Range Trails,7.1512,80.4952,Kegalle,Nature|Adventure,240,4.5
232,Karittakanda Observation Point,7.2052,80.3152,Kegalle,Nature,30,4
233,Hemmatagama Paddy Valley,7.1852,80.4252,Kegalle,Nature,60,4.3
234,Aranayaka Samadhi Monument,7.1523,80.4712,Kegalle,History,45,4
235,Diyasunna Kirti Sri Rajasingha Vihara,7.3012,80.4121,Kegalle,Religion|History,60,4.1
236,Keraminiya Raja Maha Viharaya,7.2512,80.4352,Kegalle,Religion|History,60,4.2
237,Mannagoda Sudarshanarama Viharaya,7.2152,80.4512,Kegalle,Religion|History,45,3.9
238,Muwapitiya Tempita Viharaya,7.3152,80.3952,Kegalle,Religion|History,45,4
239,Nawagamuwa Ancient Viharaya,7.2852,80.4123,Kegalle,Religion|History,60,4.1
240,Udanvita Raja Maha Viharaya,7.2952,80.4052,Kegalle,Religion|History,60,4.2
241,Udugama Purana Raja Maha Viharaya,7.3152,80.3852,Kegalle,Religion|History,60,4.1
242,Nilwakka Ancient Viharaya,7.2612,80.3412,Kegalle,Religion|History,60,4.2
243,Makura Protected Viharaya,7.2712,80.3352,Kegalle,Religion|History,45,4
244,Kaudugama Image House,7.2512,80.3552,Kegalle,Religion|History,60,4.1
245,Maniyangama Image House,6.9652,80.2252,Kegalle,Religion|History,60,4.2
246,Yatahalena Cave Viharaya,7.1512,80.3252,Kegalle,Religion|History,60,4.3
247,Devalegama Kataragama Devalaya,7.1852,80.3152,Kegalle,Religion|History,45,4
248,Wakirigala Archaeological Site,7.1412,80.4612,Kegalle,History,90,4.4
249,Ambalena Rock Caves,7.2252,80.2152,Kegalle,History|Nature,90,4.3
250,Dorawaka Lena Cave,7.2512,80.2352,Kegalle,History|Nature,90,4.5
251,Asokarama Forest Caves,7.2152,80.2052,Kegalle,Religion|Nature,120,4.6
252,Budulena Gala Raja Maha Vihara,7.2412,80.4521,Kegalle,Religion|History,60,4.2
253,Degalathiriya Cave Vihara,7.2512,80.3452,Kegalle,Religion|History,60,4.1
